step,body,x,y,z
4,0,1.936920028203864e-07,-4.113352948075782e-05,-8.789582208061893e-07
4,1,2.696169327520169e-01,1.623884437482868e-01,1.993948972297398e-02
4,2,7.113053112658494e-01,1.013242257771324e-01,6.001737243031022e-03
4,3,9.794441183365220e-01,8.736231815646757e-02,2.315918888765964e-05
4,4,9.786818259657506e-01,8.744265611747506e-02,1.220467816288980e-03
4,5,1.379231049865312e+00,7.616170970603033e-02,2.459250294119762e-03
4,6,4.949919556237599e+00,4.249847944617689e-02,9.009666061843850e-04
4,7,9.074642861781717e+00,2.928165464164323e-02,1.315360164909618e-11
4,8,1.826693337395009e+01,2.058959435487120e-02,2.645011953878827e-13
4,9,2.988711910249471e+01,1.579594641947721e-02,2.757481381987840e-14
5,0,2.787623287578204e-07,-4.935880698445950e-05,-1.054648076043065e-06
5,1,2.537315387150154e-01,1.913785178866019e-01,2.349923685092949e-02
5,2,7.081652162150613e-01,1.214109825859494e-01,7.191538188321792e-03
5,3,9.777695492358682e-01,1.047756838143768e-01,3.931736784551447e-05
5,4,9.765046857925276e-01,1.048083328947675e-01,5.253217841212107e-04
5,5,1.378378541408912e+00,9.137522462642295e-02,2.950492464755757e-03
5,6,4.949853161231538e+00,5.099794697455830e-02,1.081155084533015e-03
5,7,9.074623007073132e+00,3.513796014154972e-02,2.301841036783363e-11
5,8,1.826692848259222e+01,2.470751103009908e-02,4.628703625983525e-13
5,9,2.988711727626438e+01,1.895513531860642e-02,4.825522330357285e-14
6,0,3.791860263376656e-07,-5.758333141070921e-05,-1.230285554521899e-06
6,1,2.355268097897665e-01,2.186187513084231e-01,2.684416789664242e-02
6,2,7.044602636532679e-01,1.414008522901934e-01,8.375601426326909e-03
6,3,9.757851627102152e-01,1.221565724233982e-01,5.759695469389271e-05
6,4,9.744739846848285e-01,1.221296003430581e-01,-3.434609339705152e-04
6,5,1.377371316273648e+00,1.065784764683669e-01,3.441403260723727e-03
6,6,4.949774695031420e+00,5.949728994513673e-02,1.261340921362419e-03
6,7,9.074599542439929e+00,4.099425177142520e-02,3.682871597729219e-11
6,8,1.826692270189723e+01,2.882542650764720e-02,7.405799390267448e-13
6,9,2.988711511799223e+01,2.211432400786314e-02,7.720704299015598e-14
7,0,4.949132565180951e-07,-6.580699651014815e-05,-1.405864247626359e-06
7,1,2.152443528542613e-01,2.439298835963796e-01,2.995227627802807e-02
7,2,7.001934781322525e-01,1.612778966469103e-01,9.552983091901782e-03
7,3,9.734916057299903e-01,1.394993192060417e-01,7.415868634143084e-05
7,4,9.725906898002851e-01,1.394219913667153e-01,-1.073935170293137e-03
7,5,1.376209516736380e+00,1.217697598861989e-01,3.931927620046995e-03
7,6,4.949684157949845e+00,6.799648760049756e-02,1.441523676466231e-03
7,7,9.074572467893304e+00,4.685052721961239e-02,5.524179520206444e-11
7,8,1.826691603186546e+01,3.294334058790232e-02,1.110848189252355e-12
7,9,2.988711262767828e+01,2.527351245226860e-02,1.158083108225592e-13
8,0,6.258910163272125e-07,-7.402970270047481e-05,-1.581378544929762e-06
8,1,1.931359419175492e-01,2.671711328097066e-01,3.280627915503237e-02
8,2,6.953683419410550e-01,1.810262737388691e-01,1.072274502712407e-02
8,3,9.708920274131823e-01,1.567983735670017e-01,8.667601460417148e-05
8,4,9.706605208081931e-01,1.566928851870891e-01,-1.477141915456024e-03
8,5,1.374893306845643e+00,1.369473719149507e-01,4.422010557750951e-03
8,6,4.949581550347491e+00,7.649551918425047e-02,1.621702909659728e-03
8,7,9.074541783446181e+00,5.270678417446076e-02,7.891478523759365e-11
8,8,1.826690847249730e+01,3.706125307125123e-02,1.586891098330836e-12
8,9,2.988710980532257e+01,2.843270061684404e-02,1.654368320385713e-13
9,0,7.720642921389246e-07,-8.225135685104029e-05,-1.756823604894252e-06
9,1,1.694566250360671e-01,2.882386624672391e-01,3.539342923110638e-02
9,2,6.899887918783659e-01,2.006302514386869e-01,1.188395557887778e-02
9,3,9.679897913445763e-01,1.740483374390457e-01,9.486774899726918e-05
9,4,9.684799134463217e-01,1.739385490455380e-01,-1.530413374206936e-03
9,5,1.373422872371678e+00,1.521096123073918e-01,4.911597176763986e-03
9,6,4.949466872633116e+00,8.499436394117599e-02,1.801878180782931e-03
9,7,9.074507489113200e+00,5.856302032432747e-02,1.085046648448373e-10
9,8,1.826690002379320e+01,4.117916375808075e-02,2.181922100296090e-12
9,9,2.988710665092513e+01,3.159188846661069e-02,2.274701531246351e-13
10,0,9.333770399784017e-07,-9.047187187973186e-05,-1.932195302589978e-06
10,1,1.444588799784184e-01,3.070629196847928e-01,3.770518797404209e-02
10,2,6.840592156076337e-01,2.200742207552159e-01,1.303569038938389e-02
10,3,9.647875651302161e-01,1.912438953329069e-01,9.942047120986497e-05
10,4,9.659100090254501e-01,1.911499838767302e-01,-1.289763059559230e-03
10,5,1.371798420749925e+00,1.672547838698440e-01,5.400632678779307e-03
10,6,4.949340125263546e+00,9.349300111737179e-02,1.982049049703710e-03
10,7,9.074469584910728e+00,6.441923335757836e-02,1.446682357050918e-10
10,8,1.826689068575364e+01,4.529707244877775e-02,2.909151820498484e-12
10,9,2.988710316448599e+01,3.475107596658976e-02,3.032855376233847e-13
11,0,1.109772974973509e-06,-9.869116622639480e-05,-2.107490162286633e-06
11,1,1.183879261331097e-01,3.236052316615596e-01,3.973680778944246e-02
11,2,6.775844475996228e-01,2.393427090481904e-01,1.417703317885636e-02
11,3,9.612874472227313e-01,2.083797694579288e-01,1.012872465866995e-04
11,4,9.628663101839052e-01,2.083167312113255e-01,-8.328691833670442e-04
11,5,1.370020181018023e+00,1.823811927966143e-01,5.889062375071067e-03
11,6,4.949201308743670e+00,1.019914099603992e-01,2.162215076320895e-03
11,7,9.074428070856856e+00,7.027542096258893e-02,1.880621039952006e-10
11,8,1.826688045837918e+01,4.941497894372912e-02,3.781787829720480e-12
11,9,2.988709934600520e+01,3.791026308180249e-02,3.942599435280613e-13
12,0,1.301196171283230e-06,-1.069091632604536e-04,-2.282705281977733e-06
12,1,9.147818468331878e-02,3.378540080880242e-01,4.148686581594081e-02
12,2,6.705697646677194e-01,2.584203930973808e-01,1.530707651947721e-02
12,3,9.574912242061820e-01,2.254507073848460e-01,1.014711554909400e-04
